,,"Without lag, rolling, Differencing",,,,,"With lag rolling, differencing",,,,,With Hyper parameter tunning,,,,
Model,Target,MAE,MSE,RMSE,R2,MAPE,MAE,MSE,RMSE,R2,MAPE,MAE,MSE,RMSE,R2,MAPE
Random Forest,RED,6.13,67.4,8.21,0.33,3.98,2.812,15.281,3.909,0.848,1.839,2.852,15.640,3.955,0.844,1.864
Random Forest,GREEN,24.11,844.02,29.05,-0.56,91.39,10.783,212.065,14.562,0.608,31.944,10.683,209.249,14.465,0.613,31.782
Random Forest,BLUE,26.95,1175.39,34.28,-1.21,56.75,7.191,99.724,9.986,0.812,15.522,7.256,101.755,10.087,0.808,15.657
Decision Tree,RED,6.66,76.07,8.72,0.24,4.49,3.994,29.733,5.453,0.704,2.616,3.684,26.436,5.142,0.737,2.406
Decision Tree,GREEN,29.8,1304.78,36.12,-1.4,125.21,11.864,240.469,15.507,0.555,35.416,12.037,257.498,16.047,0.524,36.288
Decision Tree,BLUE,31.67,1460.12,38.21,-1.75,64.73,9.733,178.92,13.376,0.662,19.855,8.993,155.448,12.468,0.706,18.742
SVR,RED,8.18,110.13,10.49,-0.1,5.51,4.45,31.117,5.578,0.69,2.894,1.260,2.709,1.646,0.973,0.832
SVR,GREEN,28.1,1251.83,35.38,-1.31,125.86,12.028,265.045,16.28,0.51,61.637,1.484,4.581,2.140,0.992,6.647
SVR,BLUE,29.5,1390.59,37.29,-1.62,61.51,16.226,481.122,21.934,0.091,37.325,1.510,4.130,2.032,0.992,3.185
